Epoch,F1 Score,Accuracy,Precision,Recall
0,0.0007920792079207921,0.02,0.0004040404040404041,0.02
1,0.004217311233885819,0.03,0.0024519774011299436,0.03
2,0.0008376963350785341,0.02,0.000427807486631016,0.02
3,0.0007881773399014779,0.02,0.0004020100502512563,0.02
4,0.009274913270853828,0.05,0.005280593045298927,0.05
5,0.000784313725490196,0.02,0.0004,0.02
6,0.045445624550887714,0.095,0.04128876640261839,0.095
7,0.009566596194503172,0.04,0.006333333333333333,0.04
8,0.013720462543991957,0.05,0.023112726506531817,0.05
9,0.026370035761340112,0.05,0.03830735375022923,0.05
10,0.0693266879319511,0.1,0.07128807312398644,0.1
11,0.01877412462812316,0.06,0.013605086359309126,0.06
12,0.054447717166587514,0.1,0.07230049482681061,0.1
13,0.006049973418394471,0.045,0.0034461667364893167,0.045
14,0.023429073614557486,0.08,0.028775895113036135,0.08
15,0.022712643678160917,0.065,0.01742857142857143,0.065
16,0.028593406593406593,0.055,0.04183823529411765,0.055
17,0.03613708513708514,0.08,0.04343779463004714,0.08
18,0.12789952852232864,0.18,0.14703147608410766,0.18
19,0.06145473470063633,0.105,0.07108771929824562,0.105
20,0.02825480796573433,0.08,0.021137868667280433,0.08
21,0.06650185928446797,0.105,0.08440263431163579,0.105
22,0.05767358686304545,0.11,0.06322832722832723,0.11
23,0.07866693471647032,0.13,0.09410902822667527,0.13
24,0.09716387925799691,0.13,0.11095689386865856,0.13
25,0.1339511190563822,0.19,0.1604799253034547,0.19
26,0.04768447075800017,0.105,0.03747339788923947,0.105
27,0.05904288240495137,0.11,0.08661185130658815,0.11
28,0.29757864357864355,0.325,0.37030831315577073,0.325
29,0.1335294705294705,0.16,0.16605208769724897,0.16
30,0.1668676299545865,0.195,0.24669757727652467,0.195
31,0.12184104721832632,0.155,0.1371971104231166,0.155
32,0.11665540421637982,0.155,0.1601343366778149,0.155
33,0.07850965250965251,0.095,0.1294570707070707,0.095
34,0.06401397882618973,0.095,0.08289973107952363,0.095
35,0.20527473506885272,0.275,0.26279581203110614,0.275
36,0.18209045734627127,0.225,0.23573066026114806,0.225
37,0.24554161424702223,0.315,0.2809514225320677,0.315
38,0.22808690368873435,0.28,0.2832325043377675,0.28
39,0.2640504865504866,0.31,0.32674659197012135,0.31
40,0.16359259453996294,0.215,0.18686167061450082,0.215
41,0.30096947496947496,0.37,0.32539780154486037,0.37
42,0.3381245955302559,0.385,0.42904823747680887,0.385
43,0.38228296849349475,0.43,0.41812121212121206,0.43
44,0.43994308893720663,0.485,0.48175702075702076,0.485
45,0.4012778646474298,0.445,0.466219070403281,0.445
46,0.4528615326194273,0.495,0.5474047619047618,0.495
47,0.5113404308110191,0.535,0.608506438006438,0.535
48,0.29472140344355763,0.35,0.36704173962238473,0.35
49,0.3240891053391053,0.345,0.40859402744148504,0.345
50,0.47909523809523813,0.51,0.5464852674207513,0.51
51,0.40113388881500334,0.45,0.5029035868346213,0.45
52,0.5212926547137073,0.545,0.6053434343434343,0.545
53,0.46248058608058606,0.495,0.553015406162465,0.495
54,0.41634632034632035,0.46,0.4746497113997114,0.46
55,0.5442901484480432,0.545,0.6884365079365078,0.545
56,0.43643687843687834,0.475,0.5404158390628978,0.475
57,0.47082482990155616,0.51,0.5528672584725216,0.51
58,0.40301922858118105,0.41,0.47009215009796407,0.41
59,0.49241303141303144,0.505,0.5686345029239765,0.505
60,0.40201148281722837,0.44,0.44036530136530133,0.44
61,0.5029635540578012,0.515,0.594040626040626,0.515
62,0.4094466871278017,0.44,0.5017928737928739,0.44
63,0.4932609242609242,0.53,0.5508433402346445,0.53
64,0.36837407037407033,0.405,0.44308608058608057,0.405
65,0.607046953046953,0.645,0.6539682539682539,0.645
66,0.6846852036852036,0.71,0.7419523809523809,0.71
67,0.6835310245310245,0.705,0.7432251082251081,0.705
68,0.5702258297258297,0.605,0.6662435064935065,0.605
69,0.44864372229078114,0.485,0.5291039793539793,0.485
70,0.4915773816826448,0.5,0.6023141762452107,0.5
71,0.6795407860113742,0.69,0.7621651681651681,0.69
72,0.6022322122322122,0.63,0.6704817927170869,0.63
73,0.5052571872571873,0.555,0.5616060606060606,0.555
74,0.5861911421911422,0.615,0.6511825396825397,0.615
75,0.5999399032340209,0.625,0.6658313353313353,0.625
76,0.628968253968254,0.65,0.7043679653679655,0.65
77,0.654760794760795,0.66,0.7533174603174602,0.66
78,0.7221312021312021,0.73,0.8176450216450216,0.73
79,0.630239753710342,0.66,0.6876788766788766,0.66
80,0.6551613876319757,0.675,0.7202661782661782,0.675
81,0.6487045177045176,0.655,0.7439658119658119,0.655
82,0.6635020535020534,0.685,0.7230584415584416,0.685
83,0.6976825396825396,0.715,0.7915000000000001,0.715
84,0.699137085137085,0.71,0.7689285714285714,0.71
85,0.7057496490437667,0.72,0.7672332112332111,0.72
86,0.6737994227994228,0.69,0.7522489177489178,0.69
87,0.6895137085137085,0.71,0.7403679653679653,0.71
88,0.7070851370851371,0.72,0.7554285714285714,0.72
89,0.7239682539682538,0.73,0.7974285714285714,0.73
90,0.7158271728271727,0.735,0.7707460317460317,0.735
91,0.7038716020821283,0.72,0.7888888888888889,0.72
