Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000851063829787234,0.02,0.00043478260869565214,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.005248464544946957,0.025,0.004410256410256411,0.025
5,0.00898379970544919,0.025,0.006210526315789473,0.025
6,0.000784313725490196,0.02,0.0004,0.02
7,0.009853894533139817,0.035,0.011700680272108844,0.035
8,0.007288858939802336,0.03,0.004424731182795699,0.03
9,0.002679324894514768,0.025,0.0015194805194805195,0.025
10,0.0008,0.02,0.0004081632653061224,0.02
11,0.000784313725490196,0.02,0.0004,0.02
12,0.0045612191276931165,0.025,0.0033305156382079457,0.025
13,0.02135450576627047,0.075,0.013376552795031053,0.075
14,0.01314033189033189,0.04,0.011627304147465435,0.04
15,0.065996003996004,0.12,0.062297619047619046,0.12
16,0.005746745562130178,0.035,0.003341991341991342,0.035
17,0.03833766233766234,0.08,0.032735941169200346,0.08
18,0.04911383893380263,0.09,0.053015476190476196,0.09
19,0.01763123718386876,0.055,0.02548776590432438,0.055
20,0.16425368746500577,0.195,0.24755028305028304,0.195
21,0.11016749208238569,0.145,0.18330306848991693,0.145
22,0.000893854748603352,0.02,0.00045714285714285713,0.02
23,0.000784313725490196,0.02,0.0004,0.02
24,0.012403186650010606,0.05,0.010386821705426357,0.05
25,0.01495708694436679,0.06,0.023726671751843377,0.06
26,0.01819629526879869,0.055,0.012798730158730159,0.055
27,0.063915682408229,0.125,0.0605990701391159,0.125
28,0.10122968818620993,0.125,0.12976833976833976,0.125
29,0.16124800367908357,0.17,0.2435103715728716,0.17
30,0.08289696387301389,0.12,0.11070948892377462,0.12
31,0.10607856532701254,0.175,0.10459480139743298,0.175
32,0.2226906724011987,0.275,0.2808072651985696,0.275
33,0.34823513328776484,0.37,0.42070288134804257,0.37
34,0.24545693039554933,0.31,0.2777750295799832,0.31
35,0.3646394964684438,0.38,0.48242343604108306,0.38
36,0.3037243643869031,0.36,0.3460749250749251,0.36
37,0.22882456164601148,0.265,0.3167755102040817,0.265
38,0.30214200292461163,0.375,0.3481672362724994,0.375
39,0.18325126095095137,0.23,0.21123629327661583,0.23
40,0.35900798376030574,0.4,0.39385181485181486,0.4
41,0.33364483342744206,0.39,0.38771701982228296,0.39
42,0.3164215553967876,0.36,0.36536374382119063,0.36
43,0.24107990459153253,0.285,0.2936127574611181,0.285
44,0.25912536586220797,0.325,0.28436670414306375,0.325
45,0.3492945159415747,0.395,0.4152407302842086,0.395
46,0.47558163473952947,0.515,0.5313932178932178,0.515
47,0.5129942279942279,0.535,0.5506060606060607,0.535
48,0.5110061050061049,0.515,0.5927503607503608,0.515
49,0.4790708050119815,0.51,0.5455208125208126,0.51
50,0.46871994671994677,0.515,0.5148860028860028,0.515
51,0.4511721154662331,0.465,0.5378669704279461,0.465
52,0.45492636122047886,0.5,0.5181091131091131,0.5
53,0.39014192343604104,0.435,0.4550880198233139,0.435
54,0.48873439632263155,0.52,0.5531965811965811,0.52
55,0.5059473304473304,0.54,0.5652164502164502,0.54
56,0.48209756909756907,0.5,0.5563602835073422,0.5
57,0.4231110919731609,0.435,0.527705638152697,0.435
58,0.49015384615384605,0.52,0.55325,0.52
59,0.5667824397824397,0.575,0.6412936507936507,0.575
60,0.5796886446886447,0.6,0.6468585858585858,0.6
61,0.5599377289377289,0.57,0.656689393939394,0.57
62,0.5228372738372739,0.53,0.6068978798978799,0.53
63,0.5988152958152958,0.625,0.650095238095238,0.625
64,0.6158287268287268,0.615,0.6754841269841269,0.615
65,0.5797506937506937,0.605,0.6681661998132585,0.605
