Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.0016407982261640796,0.02,0.0008749999999999999,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.002951824004455583,0.025,0.0017657657657657658,0.025
6,0.000784313725490196,0.02,0.0004,0.02
7,0.01855234076753064,0.045,0.01770995670995671,0.045
8,0.010631198866492983,0.045,0.007484630477436233,0.045
9,0.027657815710447294,0.065,0.035580996884735205,0.065
10,0.052826745305292216,0.095,0.051396929824561406,0.095
11,0.03382135076252723,0.065,0.05648964108549752,0.065
12,0.06857659644840172,0.11,0.07198521013037143,0.11
13,0.08854986522911051,0.14,0.12606703971911346,0.14
14,0.2512681652521854,0.305,0.3118275301275302,0.305
15,0.27391127230257667,0.32,0.335025974025974,0.32
16,0.17055682248785697,0.21,0.23135596299125707,0.21
17,0.24055072687890025,0.305,0.27193051066580476,0.305
18,0.19737382322737013,0.22,0.2743113897596656,0.22
19,0.2103906870570167,0.24,0.30009927034012673,0.24
20,0.18637823976196072,0.24,0.2638116532836028,0.24
21,0.2326803751803752,0.27,0.34767920255876644,0.27
22,0.1990207095547249,0.24,0.26917002667992035,0.24
23,0.13837422544775485,0.19,0.17367807357719314,0.19
24,0.16842705247968404,0.205,0.25245054945054946,0.205
25,0.14753569465764588,0.185,0.201111064472583,0.185
26,0.21513132434185067,0.28,0.2819256854256854,0.28
27,0.39446453546453547,0.41,0.5079960317460317,0.41
28,0.2320246168004682,0.275,0.322820572381548,0.275
29,0.36724113948599074,0.395,0.47120551378446124,0.395
30,0.3532259847609155,0.37,0.45992452161290504,0.37
31,0.43289171354960826,0.46,0.5270180375180376,0.46
32,0.3752393103972051,0.41,0.48202380952380947,0.41
33,0.31715252459958343,0.34,0.407149386845039,0.34
34,0.31624635005517354,0.355,0.3772196137196137,0.355
35,0.31575675740381626,0.345,0.39793882783882784,0.345
36,0.37480886107356687,0.42,0.4892697013131796,0.42
37,0.37384673805726437,0.385,0.48558610355162074,0.385
38,0.25500763125763126,0.29,0.37125967235379,0.29
39,0.3071020825181514,0.345,0.3830022828258122,0.345
40,0.3554142816248079,0.41,0.41574819624819626,0.41
41,0.34566973319816346,0.38,0.45712120472120477,0.38
42,0.25208656665327955,0.305,0.336710989010989,0.305
43,0.48705749152807976,0.505,0.5827899877899878,0.505
44,0.44971822621822616,0.48,0.5469884559884559,0.48
45,0.4733380757972788,0.48,0.5867680097680097,0.48
46,0.5068353868353868,0.53,0.5917705627705628,0.53
47,0.5280779220779221,0.56,0.5898441558441558,0.56
48,0.5008648671589848,0.515,0.5822490842490842,0.515
49,0.35079370275114946,0.35,0.48953756640076745,0.35
50,0.40537863987863987,0.43,0.4922004830917874,0.43
51,0.3371197691197691,0.37,0.4501500365542111,0.37
52,0.5391384245194988,0.55,0.6274069789859262,0.55
53,0.4944399570158084,0.53,0.5816601176601176,0.53
54,0.48038766788766785,0.515,0.5623174603174603,0.515
55,0.3977359621055273,0.445,0.43789223057644105,0.445
56,0.42482302371957537,0.465,0.5033761904761905,0.465
57,0.41263452560511377,0.45,0.5220901320901321,0.45
58,0.5071254301254301,0.525,0.6167142857142857,0.525
59,0.5161239871239871,0.52,0.6152395382395381,0.52
60,0.5232791652791652,0.535,0.5853253968253967,0.535
61,0.5561819291819292,0.575,0.6379646464646465,0.575
62,0.5194947976000607,0.55,0.5911093073593073,0.55
63,0.5459040959040958,0.555,0.6286349206349207,0.555
64,0.5095478900184783,0.525,0.5883534798534799,0.525
65,0.5697492507492508,0.575,0.683345598845599,0.575
