Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.000824742268041237,0.02,0.00042105263157894734,0.02
7,0.000784313725490196,0.02,0.0004,0.02
8,0.0007881773399014779,0.02,0.0004020100502512563,0.02
9,0.037517534386866835,0.08,0.03282369482369482,0.08
10,0.03631663228214952,0.08,0.042203174603174604,0.08
11,0.012231499051233396,0.035,0.011222668451584112,0.035
12,0.04005785667324128,0.05,0.06448484848484849,0.05
13,0.021142857142857147,0.035,0.04392156862745098,0.035
14,0.00887431693989071,0.025,0.020446927374301677,0.025
15,0.07726103136629452,0.125,0.08051842865702658,0.125
16,0.04296296296296297,0.085,0.05074888164549849,0.085
17,0.043381278851867086,0.105,0.04720627001724563,0.105
18,0.1920729988965283,0.225,0.252453933747412,0.225
19,0.10399929264635144,0.14,0.1531582142495186,0.14
20,0.07473376436390136,0.095,0.10906418219461697,0.095
21,0.1035920917570402,0.135,0.14305858120374249,0.135
22,0.029873015873015874,0.075,0.048414371457849714,0.075
23,0.007699985725176234,0.045,0.0042742048479753394,0.045
24,0.051317685694967634,0.07,0.09532504210389948,0.07
25,0.07727310834764908,0.11,0.10035925925925925,0.11
26,0.03822146728948617,0.08,0.04604151404151404,0.08
27,0.12748613959140276,0.155,0.17012020025014546,0.155
28,0.09227443609022558,0.12,0.1170304114490161,0.12
29,0.016522281639928697,0.035,0.02725534028812717,0.035
30,0.04470107913669064,0.08,0.05059259259259259,0.08
31,0.18526124418605622,0.215,0.21377473826409996,0.215
32,0.19663578234630866,0.24,0.261468253968254,0.24
33,0.119092124250019,0.18,0.12916699966699965,0.18
34,0.10847331903628525,0.155,0.12336799335118663,0.155
35,0.10931554631305979,0.125,0.14786875725900117,0.125
36,0.07023693379790942,0.105,0.10370925684485005,0.105
37,0.09397953203674027,0.13,0.14858672974772044,0.13
38,0.05094427558257346,0.075,0.07979227493917275,0.075
39,0.06502263763262618,0.11,0.07323718466091347,0.11
40,0.1750870500801851,0.225,0.22147450147106898,0.225
41,0.27176275727682375,0.3,0.32898334998334994,0.3
42,0.17475723963047904,0.205,0.22263248938756647,0.205
43,0.18599965712160835,0.235,0.24533196947902827,0.235
44,0.09431125294692658,0.15,0.13301923783697875,0.15
45,0.19575172975172972,0.23,0.24129196648761866,0.23
46,0.22629676084669242,0.24,0.2811239316239316,0.24
47,0.14386733266733265,0.17,0.18179752260940382,0.17
48,0.10418336565395389,0.135,0.13775120772946858,0.135
49,0.20777592055640834,0.225,0.2806715506715507,0.225
50,0.19741004257180728,0.21,0.28811706349206356,0.21
51,0.2429119282008574,0.28,0.3157787820023114,0.28
52,0.18575553857906799,0.205,0.25316984769616346,0.205
53,0.1055378465816422,0.115,0.19677610693400166,0.115
54,0.09040934065934067,0.115,0.14406565656565656,0.115
55,0.19643677718909922,0.245,0.23439811822164763,0.245
56,0.17340548340548342,0.2,0.2455934065934066,0.2
57,0.13383780948371984,0.175,0.16676028626028624,0.175
58,0.21693236175589117,0.25,0.28704112554112554,0.25
59,0.3230109111161743,0.35,0.36385501156984523,0.35
60,0.3128994273700156,0.345,0.3964042395512984,0.345
61,0.3728688305158892,0.37,0.5109427239427239,0.37
62,0.30413348501455917,0.335,0.4294027773052541,0.335
63,0.20944388944388945,0.245,0.31170926327520254,0.245
64,0.2618341908013465,0.3,0.34867840982546866,0.3
65,0.3066101788710484,0.33,0.3725676159589203,0.33
