Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.0007881773399014779,0.02,0.0004020100502512563,0.02
3,0.0007920792079207921,0.02,0.0004040404040404041,0.02
4,0.0008,0.02,0.0004081632653061224,0.02
5,0.0007881773399014779,0.02,0.0004020100502512563,0.02
6,0.0008080808080808082,0.02,0.0004123711340206185,0.02
7,0.0008121827411167512,0.02,0.0004145077720207254,0.02
8,0.000855614973262032,0.02,0.0004371584699453552,0.02
9,0.0007960199004975124,0.02,0.0004060913705583756,0.02
10,0.0007960199004975124,0.02,0.0004060913705583756,0.02
11,0.0007920792079207921,0.02,0.0004040404040404041,0.02
12,0.0009142857142857143,0.02,0.0004678362573099415,0.02
13,0.009230769230769232,0.025,0.02063492063492063,0.025
14,0.024839223839223837,0.05,0.02433087783916513,0.05
15,0.0007881773399014779,0.02,0.0004020100502512563,0.02
16,0.0008040201005025126,0.02,0.00041025641025641023,0.02
17,0.0007920792079207921,0.02,0.0004040404040404041,0.02
18,0.0007881773399014779,0.02,0.0004020100502512563,0.02
19,0.008796019900497512,0.025,0.020406091370558377,0.025
20,0.008796019900497512,0.025,0.020406091370558377,0.025
21,0.0008333333333333333,0.02,0.000425531914893617,0.02
22,0.0007960199004975124,0.02,0.0004060913705583756,0.02
23,0.00742094861660079,0.025,0.006401468788249693,0.025
24,0.0052259887005649715,0.02,0.003115606936416185,0.02
25,0.0017142857142857142,0.015,0.0009090909090909091,0.015
26,0.005053581500282007,0.02,0.004310880829015544,0.02
27,0.006518305814788227,0.025,0.007076923076923076,0.025
28,0.010300864623012274,0.035,0.007459247648902822,0.035
29,0.027362193362193362,0.045,0.04780335904853745,0.045
30,0.007180654338549075,0.035,0.004441988950276243,0.035
31,0.020930232558139538,0.035,0.04380952380952381,0.035
32,0.018639141205615196,0.035,0.03047337278106509,0.035
33,0.02195808383233533,0.035,0.04549079754601227,0.035
34,0.019211262991750796,0.04,0.01838888888888889,0.04
35,0.012041847041847043,0.04,0.010372549019607845,0.04
36,0.03209876543209877,0.045,0.057839662447257384,0.045
37,0.006543301258327164,0.025,0.00708994708994709,0.025
38,0.006539027982326952,0.025,0.007087719298245614,0.025
39,0.03999195171026157,0.055,0.053180297962906665,0.055
40,0.02167651671999498,0.045,0.0325639880952381,0.045
41,0.005185185185185185,0.02,0.004379746835443038,0.02
42,0.01980012650221379,0.04,0.024666666666666663,0.04
43,0.01936559940431869,0.035,0.042057942057942055,0.035
44,0.02002020202020202,0.035,0.034465116279069764,0.035
45,0.04764444444444444,0.07,0.06541069075851684,0.07
46,0.014407158836689037,0.03,0.020551724137931035,0.03
47,0.017278994322789943,0.04,0.015601503759398496,0.04
48,0.05418335558522475,0.065,0.07618347957011577,0.065
49,0.06222880061115355,0.09,0.08348529734474434,0.09
50,0.08510352935806482,0.1,0.11840917766160483,0.1
51,0.06224093251997919,0.085,0.09897555385790678,0.085
52,0.066190647031355,0.08,0.10697470113983876,0.08
53,0.027856191389038103,0.045,0.041714067778141,0.045
54,0.03573225404732254,0.06,0.06367149758454106,0.06
55,0.021333333333333333,0.02,0.035,0.02
56,0.030048309178743963,0.065,0.05138615855689026,0.065
57,0.032553580572013754,0.08,0.040579485329485326,0.08
58,0.031082720178372353,0.075,0.0398859649122807,0.075
59,0.07712848158131176,0.105,0.1047563025210084,0.105
60,0.14218751424014583,0.155,0.1800018674136321,0.155
61,0.08364635364635366,0.115,0.09867305372223406,0.115
62,0.041067632850241544,0.075,0.057781954887218046,0.075
63,0.06767919799498746,0.105,0.08850562740952618,0.105
64,0.10505869294104586,0.115,0.13497505668934237,0.115
