Epoch,F1 Score,Accuracy,Precision,Recall
10,0.018854064292012432,0.045,0.05367260644567676,0.04156740233160112
11,0.0431740404484994,0.08625,0.07584724780928888,0.07059004327965376
13,0.09951689597452842,0.113125,0.20530207861182384,0.11119837334642818
20,0.04028393661647249,0.085625,0.09293258995296347,0.08732913706627855
22,0.10425494506165141,0.120625,0.21023047491695956,0.12527822522149198
30,0.11223930101846465,0.1275,0.3330958310248123,0.1346608788435915
40,0.09114134403725288,0.13,0.17991138525468992,0.12402985101512798
41,0.19965761642709404,0.231875,0.3875638819684699,0.22768022846185018
44,0.2354455932676619,0.295625,0.3197842999693066,0.28600469954328994
46,0.2355830253024385,0.2575,0.37798054809995063,0.26524998455003707
48,0.32524475463846647,0.345,0.4774226517304613,0.34572248466869804
58,0.2970610524910081,0.315625,0.4798648426546696,0.3172762988434243
60,0.2874260938194665,0.3325,0.4926826708638344,0.3273450609432053
62,0.461775728830238,0.4775,0.5995336888608604,0.48034720665195857
63,0.47362870180791283,0.474375,0.6063426804410994,0.47035098613975307
64,0.3428763625857472,0.359375,0.5215173795946052,0.35407690080762877
80,0.5621779559926278,0.576875,0.6124040436197032,0.5804356840511492
83,0.5116928078363121,0.5175,0.5719543265655748,0.516563254556662
86,0.5807502111133435,0.59,0.6306620420713874,0.5898613356334877
87,0.6514598605659235,0.66,0.6705741210723012,0.6643286018431845
88,0.4774902199936758,0.46625,0.6056350467536942,0.4742402230928516
100,0.5166804844851314,0.506875,0.5858449198671479,0.5026515220904324
120,0.5814847093023414,0.586875,0.6727766244780713,0.5765470009382048
140,0.5583224737243161,0.5575,0.6674115513926892,0.575953339307491
160,0.5395340171169134,0.53375,0.6114594256080718,0.5262875726602901
180,0.563795578829383,0.56625,0.6010185452180097,0.5618649530449905
200,0.6186005377258555,0.630625,0.6446451835976629,0.6206568667393789
220,0.5221855855899168,0.51,0.5859106063402438,0.5107846720104542
228,0.619259613903522,0.6275,0.6512418278383133,0.6251035894701785
240,0.5107884812810938,0.486875,0.6374452142235336,0.4960405220665851
260,0.5487614661542377,0.553125,0.6546967913650833,0.5476392441565202
272,0.6619071778093749,0.673125,0.6952872822578554,0.6709677897462302
280,0.6425033364276288,0.649375,0.6547662312180063,0.6482186118927646
