Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.002809716599190283,0.035,0.001468253968253968,0.035
5,0.0022810755961440894,0.03,0.0011903971678282996,0.03
6,0.009869051694625128,0.04,0.006248280175109443,0.04
7,0.000784313725490196,0.02,0.0004,0.02
8,0.004218852999340804,0.035,0.002318181818181818,0.035
9,0.000784313725490196,0.02,0.0004,0.02
10,0.02741891493733735,0.065,0.04970362133152831,0.065
11,0.05034131789067298,0.08,0.07922664969909064,0.08
12,0.04500962453136366,0.1,0.035747086247086245,0.1
13,0.09545936950316512,0.125,0.10069674185463659,0.125
14,0.05332781662283234,0.085,0.06566197254189379,0.085
15,0.016590415947862758,0.055,0.01603174603174603,0.055
16,0.0661357178340785,0.11,0.08734463276836159,0.11
17,0.016004965859714462,0.035,0.026275324675324677,0.035
18,0.008788177339901478,0.025,0.02040201005025126,0.025
19,0.050548885362072776,0.09,0.07369194491605358,0.09
20,0.0876152942801879,0.13,0.1257525767996621,0.13
21,0.06321315131226991,0.11,0.08362587347897246,0.11
22,0.1441615606996527,0.165,0.20236343732895457,0.165
23,0.018789872273717506,0.065,0.026077623525899388,0.065
24,0.002309614138983992,0.03,0.001201080972875588,0.03
25,0.010804020100502512,0.03,0.010410256410256412,0.03
26,0.03148769294952023,0.06,0.04620298922488703,0.06
27,0.03400730267496663,0.08,0.051295136236312704,0.08
28,0.058854060433358786,0.105,0.08506423004337602,0.105
29,0.1270234740550379,0.175,0.16879920036017595,0.175
30,0.15209835386610235,0.185,0.22302490548273682,0.185
31,0.030508771929824565,0.05,0.04043010752688172,0.05
32,0.07561191019255536,0.115,0.12371445933217878,0.115
33,0.04845193312434692,0.07,0.10499266324284666,0.07
34,0.0597368533106238,0.1,0.06490345890228999,0.1
35,0.071261791585321,0.12,0.08370714285714285,0.12
36,0.017431784589679325,0.055,0.025639344262295083,0.055
37,0.07043145807941496,0.095,0.08383504946497071,0.095
38,0.11177322677322678,0.17,0.12816918905154198,0.17
39,0.05773362647881425,0.1,0.05874372686137391,0.1
40,0.08679942279942279,0.12,0.11206359649122806,0.12
41,0.2055681277786541,0.22,0.28521018062397374,0.22
42,0.10308496732026143,0.13,0.14054545454545456,0.13
43,0.08760954869004403,0.14,0.09964390777181474,0.14
44,0.24202252425936638,0.285,0.31770135315418335,0.285
45,0.2399874207917686,0.28,0.3021095571095571,0.28
46,0.24399447086098922,0.285,0.293477917102055,0.285
47,0.1841082161082161,0.205,0.264037518037518,0.205
48,0.33596645281768617,0.36,0.42591188441188443,0.36
49,0.23736228880500293,0.255,0.3753275065930239,0.255
50,0.08894674556213017,0.085,0.15381818181818183,0.085
51,0.22167860944840057,0.255,0.28505986836006303,0.255
52,0.11200851193190454,0.14,0.17088574917146346,0.14
53,0.1094650262018683,0.13,0.1858904036353916,0.13
54,0.23404096716291836,0.285,0.2878379324702854,0.285
55,0.2721517530088959,0.305,0.37296953405017924,0.305
56,0.25570961166323836,0.29,0.32608670242725973,0.29
57,0.20337905101434514,0.235,0.30206227106227107,0.235
58,0.34977888124946943,0.375,0.47891112396375557,0.375
59,0.12326105006105006,0.165,0.18518931475029035,0.165
60,0.27041978441978437,0.295,0.39114588392637173,0.295
61,0.2495260984226501,0.29,0.33214966011617847,0.29
62,0.37692583643746436,0.38,0.5566480729415512,0.38
63,0.45371789321789324,0.48,0.5444920634920635,0.48
64,0.4579022790075421,0.485,0.5485929038281979,0.485
65,0.3944671608584652,0.4,0.4745576441102757,0.4
