Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.0035228114745421823,0.04,0.0018537828756806857,0.04
7,0.00833137348376503,0.045,0.004732819948661533,0.045
8,0.000784313725490196,0.02,0.0004,0.02
9,0.00346969696969697,0.03,0.0019254658385093166,0.03
10,0.0008421052631578947,0.02,0.0004301075268817205,0.02
11,0.0028686173264486515,0.03,0.0015464587394411955,0.03
12,0.023316058366705104,0.065,0.02311020408163265,0.065
13,0.08848103428103428,0.12,0.13605519480519482,0.12
14,0.011019322141273363,0.05,0.006890962773315714,0.05
15,0.028615717976247405,0.085,0.03299649122807018,0.085
16,0.010276144257303263,0.035,0.02118338315637563,0.035
17,0.15275080118854187,0.215,0.16850285128333908,0.215
18,0.012842105263157894,0.03,0.023763440860215056,0.03
19,0.1171640686454928,0.14,0.15714796759624344,0.14
20,0.03398298841336816,0.075,0.04488866490756809,0.075
21,0.06745811051693405,0.12,0.07217019400352734,0.12
22,0.03706795280243742,0.09,0.04155932955932956,0.09
23,0.000784313725490196,0.02,0.0004,0.02
24,0.06147716310092548,0.1,0.09180903289150713,0.1
25,0.0008,0.02,0.0004081632653061224,0.02
26,0.005269186712485682,0.025,0.004421052631578948,0.025
27,0.059752386873707125,0.11,0.06866080977845684,0.11
28,0.11934878779840764,0.17,0.14570208495208495,0.17
29,0.14490287073932986,0.165,0.24421206295806797,0.165
30,0.0892717086834734,0.13,0.11277272727272727,0.13
31,0.2086979807563299,0.24,0.29354304954304955,0.24
32,0.1779737715518649,0.225,0.2772692788598159,0.225
33,0.2257338256514727,0.265,0.2892759759422163,0.265
34,0.14466384291090173,0.2,0.20676340056646964,0.2
35,0.09451315351315351,0.115,0.12892085243188184,0.115
36,0.15873559120617944,0.21,0.20820275802628743,0.21
37,0.17282576921286597,0.195,0.21270511614176862,0.195
38,0.24201672847082495,0.29,0.3241753497456014,0.29
39,0.17685425685425685,0.225,0.22046456158220862,0.225
40,0.2048104815348226,0.265,0.2702796498822815,0.265
41,0.05377877184543852,0.1,0.061138807429130006,0.1
42,0.23556241956241955,0.235,0.38168780831571525,0.235
43,0.14900351100487896,0.185,0.20047851697851699,0.185
44,0.08779846545109704,0.125,0.1362063492063492,0.125
45,0.18790636670728206,0.215,0.29822731963598836,0.215
46,0.1439586176535329,0.155,0.2507402597402597,0.155
47,0.23930949309767047,0.265,0.3662860530773574,0.265
48,0.17770865953218895,0.2,0.2539854347837954,0.2
49,0.14983390465743407,0.19,0.22413780663780664,0.19
50,0.12031052818149593,0.175,0.17184033170357588,0.175
51,0.15089766073567587,0.21,0.20098152137099506,0.21
52,0.1613281038334871,0.215,0.18057814407814404,0.215
53,0.26772831173993966,0.29,0.41023113356177876,0.29
54,0.2162782775322821,0.24,0.3119293907846539,0.24
55,0.1896058356847831,0.245,0.27687781857611077,0.245
56,0.20239966345410992,0.27,0.2026667923474375,0.27
57,0.3283890963329953,0.365,0.415779549884813,0.365
58,0.08454486036838978,0.12,0.13717048066875653,0.12
59,0.23418171506432375,0.255,0.33823123024953683,0.255
60,0.14991430080217266,0.2,0.18498830409356729,0.2
61,0.248645029766981,0.255,0.38932403150760153,0.255
62,0.18221133712623072,0.235,0.23538987688098495,0.235
63,0.14332757501827711,0.215,0.17541122303622303,0.215
64,0.055094017094017095,0.095,0.07146969696969697,0.095
65,0.03026143790849673,0.05,0.04353146853146853,0.05
