Epoch,F1 Score,Accuracy,Precision,Recall
10,0.0015399127461384271,0.02375,0.0008994579471935653,0.020540540540540542
11,0.004287919103940283,0.029375,0.004025092925510985,0.024806145431145434
12,0.015094536528357787,0.055625,0.04036516658245343,0.05851701117854636
13,0.06632529308704875,0.105625,0.12374912981530123,0.10659110903716167
17,0.12034248651540339,0.16875,0.20160986015350896,0.16636613409649834
20,0.03231011896762747,0.07625,0.10527231694481815,0.0706678518130131
31,0.18222322314192607,0.2175,0.3274873711266801,0.22275598270989813
33,0.22086861478578565,0.254375,0.43403693091115725,0.27185053943090637
38,0.26217644093410897,0.2875,0.47063888538113685,0.285302673694048
40,0.2250473916282008,0.27625,0.40587165977034717,0.2768491217498179
53,0.28698876139836565,0.305,0.48192303031007355,0.30459954498822905
57,0.3468786539240418,0.35375,0.5385612865380134,0.36292249542498145
60,0.14185128996666502,0.153125,0.3730223255819315,0.161782837796102
74,0.4424591473205688,0.44125,0.6141610168270819,0.44406478693162454
75,0.494144101141403,0.498125,0.6363001801993978,0.5017249550563849
80,0.30544014608966796,0.295625,0.6107590078861039,0.29742634580907573
90,0.601331737440574,0.608125,0.6699805503265688,0.6114146435048109
100,0.4779330769558277,0.4375,0.6394138136943256,0.4436049003166701
105,0.514152756288508,0.485625,0.6390859832527078,0.4816429863950065
110,0.44431701937270257,0.408125,0.6758690434878264,0.40967803527908186
119,0.5408252757872734,0.513125,0.6729680381657421,0.5155151354927299
120,0.5763323276848581,0.548125,0.6591170851299158,0.5537002740668564
140,0.6582364316875001,0.6625,0.678460074110082,0.6678363659780477
160,0.6092273161523197,0.580625,0.668016334082783,0.5879618668535392
180,0.49824874205592296,0.4475,0.6466953156923754,0.4502844069149652
200,0.5964625036840634,0.570625,0.6670956884498592,0.5802057957824416
220,0.5812802435027938,0.56625,0.6571163095731571,0.5583438600468004
230,0.6248908648043866,0.60625,0.6869917110618163,0.600467175461181
240,0.5597730215840406,0.5275,0.6679831064029922,0.5269137262592853
260,0.5963470318125375,0.574375,0.6650109970433445,0.5695834801090508
278,0.5649356402949293,0.53125,0.6540974016934118,0.5335119126419098
280,0.5746482998851596,0.56,0.6537140735271619,0.5642253988330195
