Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.0007920792079207921,0.02,0.0004040404040404041,0.02
2,0.0008333333333333333,0.02,0.000425531914893617,0.02
3,0.0008,0.02,0.0004081632653061224,0.02
4,0.007458745874587458,0.025,0.010404040404040405,0.025
5,0.02124322069253233,0.045,0.02505016722408027,0.045
6,0.019401776384535007,0.05,0.014334733893557423,0.05
7,0.014868347338935575,0.035,0.024252848498064656,0.035
8,0.000425531914893617,0.01,0.00021739130434782607,0.01
9,0.0007881773399014779,0.02,0.0004020100502512563,0.02
10,0.012510065902320122,0.05,0.008663632119514472,0.05
11,0.004486196319018405,0.03,0.002520215633423181,0.03
12,0.008958922558922559,0.04,0.005300381756077959,0.04
13,0.0088,0.025,0.020408163265306124,0.025
14,0.006514285714285714,0.025,0.007074829931972789,0.025
15,0.0008,0.02,0.0004081632653061224,0.02
16,0.02528937728937729,0.04,0.04267166042446942,0.04
17,0.013300059417706477,0.03,0.024437158469945354,0.03
18,0.007646176911544228,0.035,0.004563467492260062,0.035
19,0.012941176470588234,0.045,0.01355885078776645,0.045
20,0.01082963819805925,0.03,0.00997147472247998,0.03
21,0.008898876404494382,0.025,0.02045977011494253,0.025
22,0.013976244960226654,0.04,0.014509554140127388,0.04
23,0.019761097659402746,0.035,0.042462427745664735,0.035
24,0.014232209737827715,0.03,0.02045977011494253,0.03
25,0.032316624895572264,0.05,0.035479041916167665,0.05
26,0.026835600095442617,0.055,0.03543612078977932,0.055
27,0.008837696335078533,0.025,0.02042780748663102,0.025
28,0.0008290155440414508,0.02,0.00042328042328042324,0.02
29,0.050073380171740824,0.065,0.06234463276836157,0.065
30,0.06005657394174141,0.08,0.10537423687423686,0.08
31,0.05907084785133566,0.065,0.10565151515151515,0.065
32,0.031545787545787546,0.04,0.0704494382022472,0.04
33,0.042790436005625876,0.05,0.08451948051948052,0.05
34,0.020476190476190474,0.04,0.022487804878048783,0.04
35,0.06729120448179271,0.095,0.07519320830684467,0.095
36,0.03215573016704499,0.07,0.038410360229330684,0.07
37,0.04648595848595848,0.065,0.05919298245614035,0.065
