Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.006855614973262032,0.035,0.004187158469945355,0.035
7,0.002026974951830443,0.02,0.0011242603550295858,0.02
8,0.003528190937391906,0.035,0.001874125874125874,0.035
9,0.0026666666666666666,0.03,0.0014219114219114221,0.03
10,0.013987654320987655,0.04,0.023506329113924047,0.04
11,0.10445898816630525,0.125,0.17429029246107042,0.125
12,0.023705987955168283,0.07,0.029098629201797954,0.07
13,0.05852206481029148,0.075,0.104670296430732,0.075
14,0.053546136065317655,0.11,0.0436316946211683,0.11
15,0.05511895741347386,0.09,0.06718447456433725,0.09
16,0.05277626824685648,0.09,0.05127808302808303,0.09
17,0.03848272017837235,0.09,0.05925108225108224,0.09
18,0.020978992894655546,0.07,0.028284215499405376,0.07
19,0.027419050106656212,0.06,0.03932932932932933,0.06
20,0.01708487112721235,0.05,0.016718016283233675,0.05
21,0.07111111111111111,0.105,0.09758482679019856,0.105
22,0.07595114888581833,0.12,0.0754919647121482,0.12
23,0.22826585684846554,0.295,0.28275742386268704,0.295
24,0.14131409835386402,0.185,0.1742190587190587,0.185
25,0.125591994478951,0.16,0.18969687323146572,0.16
26,0.26452557442557445,0.3,0.3447443064182194,0.3
27,0.1442567296422115,0.2,0.1905898282262873,0.2
28,0.39260849607908427,0.405,0.5421843501326259,0.405
29,0.19138468720821664,0.22,0.26048871695680204,0.22
30,0.30637643097643097,0.36,0.40748908338038775,0.36
31,0.1727615480564633,0.21,0.23578736675510867,0.21
32,0.3368906648906648,0.375,0.438533189033189,0.375
33,0.24235846659648175,0.285,0.34630336765336767,0.285
34,0.3495308820834767,0.38,0.4705045006306616,0.38
35,0.26447773130381824,0.3,0.33526968937495255,0.3
36,0.2910157211209843,0.34,0.37328803245436104,0.34
37,0.352015651015651,0.36,0.47782229792065856,0.36
38,0.4875884115884116,0.505,0.6070919540229884,0.505
39,0.4239567099567099,0.44,0.5347012195121951,0.44
40,0.3491546523651787,0.39,0.4456587301587301,0.39
41,0.2892853071448897,0.325,0.3558431013431014,0.325
42,0.33916627531165894,0.365,0.4537054867613007,0.365
43,0.2751329258976318,0.295,0.38424019743293836,0.295
44,0.4132417582417583,0.44,0.5201813782423539,0.44
45,0.25110899615120563,0.26,0.3614762574195564,0.26
46,0.3177392150333327,0.355,0.3978836441336441,0.355
47,0.34182091982091983,0.375,0.40874164368557964,0.375
48,0.3190993548934725,0.375,0.39868512533218414,0.375
49,0.2493019339285324,0.295,0.3086524673096045,0.295
50,0.4129769808735325,0.43,0.542415873015873,0.43
51,0.5417948717948717,0.555,0.6747272727272727,0.555
52,0.5078843378843378,0.535,0.5886666666666667,0.535
53,0.5427124542124541,0.555,0.6454659197012137,0.555
54,0.4320444072056976,0.465,0.5473439153439154,0.465
55,0.41957395401445746,0.44,0.4972810636216208,0.44
56,0.5088607601548779,0.52,0.6033601953601954,0.52
57,0.3448227257376194,0.365,0.4779692778721506,0.365
58,0.3559407259407259,0.37,0.46208290339797187,0.37
59,0.4127903359554213,0.43,0.5397541347541348,0.43
60,0.5047611086231776,0.525,0.6266989177489178,0.525
61,0.526021867021867,0.56,0.654553391053391,0.56
62,0.550022860180755,0.565,0.6554761904761905,0.565
63,0.526052053209948,0.55,0.6281325863678805,0.55
64,0.6145715395715395,0.63,0.6796984126984127,0.63
65,0.6097983127983128,0.63,0.6639603174603174,0.63
