Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.010804020100502512,0.03,0.010410256410256412,0.03
5,0.0007960199004975124,0.02,0.0004060913705583756,0.02
6,0.010903954802259887,0.04,0.00846242774566474,0.04
7,0.00847926267281106,0.04,0.005145442792501616,0.04
8,0.02884774473868062,0.075,0.02463032581453634,0.075
9,0.015707717569786537,0.05,0.024349222065063653,0.05
10,0.012459644322845418,0.04,0.022476190476190476,0.04
11,0.0051921214078140135,0.04,0.0028560858305586383,0.04
12,0.07573010780950584,0.135,0.09395581295581296,0.135
13,0.0753749285305889,0.13,0.09014871153941026,0.13
14,0.07222908622908623,0.09,0.1263458110516934,0.09
15,0.11838644688644688,0.165,0.14400025464731347,0.165
16,0.14388526318262626,0.195,0.17381471861471862,0.195
17,0.17765890382019414,0.225,0.24432460132460132,0.225
18,0.09867250251231945,0.14,0.1286288084464555,0.14
19,0.30010820339081207,0.345,0.3818251388274609,0.345
20,0.10327365994439167,0.135,0.11844853397477084,0.135
21,0.034013666072489596,0.075,0.03824992081089642,0.075
22,0.08665342545311586,0.135,0.11262271062271062,0.135
23,0.16786002392577873,0.215,0.24499533146591967,0.215
24,0.14134698242933538,0.22,0.14466211566211565,0.22
25,0.14931962310548447,0.205,0.18173900203829427,0.205
26,0.12632463811887473,0.2,0.16009875650665123,0.2
27,0.23603431013431014,0.26,0.2999047619047619,0.26
28,0.13843845856040976,0.18,0.1943263035763036,0.18
29,0.12820495351777783,0.2,0.130181236673774,0.2
30,0.17725622920012823,0.225,0.23803063213589531,0.225
31,0.21636373703300282,0.275,0.28761522372048687,0.275
32,0.43018666301019237,0.46,0.5264432234432235,0.46
33,0.4544080825642691,0.475,0.5475369375722317,0.475
34,0.4696520886520886,0.505,0.5415240761653805,0.505
35,0.3426723537900008,0.38,0.39209129759129757,0.38
36,0.34787673437673433,0.41,0.3648780663780664,0.41
37,0.4572656232656233,0.465,0.5581269841269841,0.465
38,0.3249659171238119,0.365,0.3957073253543842,0.365
39,0.38502486402486397,0.415,0.43297113997113995,0.415
40,0.30546271375683137,0.365,0.36313902763902767,0.365
41,0.2510676021296711,0.315,0.33928899923605804,0.315
42,0.25814381261440084,0.29,0.31605400191339134,0.29
43,0.1788671497584541,0.23,0.20005547960811118,0.23
44,0.29384932714344475,0.315,0.35093349134525603,0.315
45,0.3613975147659358,0.425,0.40838239538239535,0.425
46,0.31822610069668894,0.39,0.34789371412900827,0.39
47,0.33745313510019387,0.4,0.39298745698745696,0.4
48,0.40025366446419075,0.445,0.4768646812957158,0.445
49,0.47296775205470853,0.5,0.5115518341307815,0.5
50,0.5432189966895848,0.565,0.623464590964591,0.565
51,0.551116661116661,0.565,0.649025974025974,0.565
52,0.45466483842954425,0.505,0.5301545121545121,0.505
53,0.5021757495475662,0.525,0.5985185185185184,0.525
54,0.5957535797535798,0.625,0.6407806637806638,0.625
55,0.5420596362701625,0.56,0.5960808080808081,0.56
56,0.5096564546564547,0.545,0.5547142857142857,0.545
57,0.5379622599622599,0.56,0.635703463203463,0.56
58,0.5736863136863136,0.59,0.6681349206349206,0.59
59,0.572491648702175,0.585,0.6523896103896104,0.585
60,0.4790753246753246,0.5,0.5428463203463203,0.5
61,0.506962481962482,0.525,0.5788809523809523,0.525
62,0.5950375180375179,0.605,0.6555952380952381,0.605
63,0.42416119174942707,0.45,0.5031345321345322,0.45
64,0.47087495837495835,0.495,0.5698347763347763,0.495
65,0.4315223599929482,0.46,0.4858881118881119,0.46
