Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.0008,0.02,0.0004081632653061224,0.02
4,0.0008,0.02,0.0004081632653061224,0.02
5,0.004496578690127078,0.03,0.0026617826617826618,0.03
6,0.012228571428571429,0.03,0.013741496598639456,0.03
7,0.009668542839274546,0.045,0.006569230769230769,0.045
8,0.006849051977770513,0.04,0.003985744616317864,0.04
9,0.02791765407258365,0.065,0.023331419823957134,0.065
10,0.005269186712485682,0.025,0.004421052631578948,0.025
11,0.03679810385692738,0.075,0.02973232323232323,0.075
12,0.018837290098436595,0.04,0.04152287581699346,0.04
13,0.006510305614783226,0.025,0.007072758037225042,0.025
14,0.04831514000949217,0.09,0.04928052287581699,0.09
15,0.0007920792079207921,0.02,0.0004040404040404041,0.02
16,0.005151702786377709,0.04,0.0028348688873139614,0.04
17,0.008788177339901478,0.025,0.02040201005025126,0.025
18,0.008837696335078533,0.035,0.00588235294117647,0.035
19,0.007487179487179487,0.025,0.010418848167539267,0.025
20,0.016248934356351236,0.045,0.013535321821036108,0.045
21,0.000784313725490196,0.02,0.0004,0.02
22,0.008788177339901478,0.025,0.02040201005025126,0.025
23,0.016244384546271338,0.045,0.018761743067345783,0.045
24,0.10132511174853016,0.155,0.11163779357897004,0.155
25,0.07024556489262372,0.105,0.08823809523809523,0.105
26,0.10401868066573948,0.155,0.13068825782061075,0.155
27,0.03869901323945059,0.07,0.07068325791855204,0.07
28,0.1813901300948673,0.235,0.22446248196248195,0.235
29,0.14419039677525464,0.185,0.17681118881118882,0.185
30,0.12216275284817485,0.15,0.17679160407065075,0.15
31,0.1958287817542476,0.23,0.22818628389154705,0.23
32,0.08957753357753358,0.105,0.122710027100271,0.105
33,0.08686980530018504,0.125,0.10679766081871346,0.125
34,0.1807752541295566,0.225,0.2119891956782713,0.225
35,0.3499503328213005,0.39,0.39341269841269844,0.39
36,0.1847264454421081,0.205,0.26279940771024973,0.205
37,0.06295643112038687,0.09,0.08895422427035332,0.09
38,0.06404295182185163,0.12,0.0976726212873209,0.12
39,0.1835433264053954,0.215,0.2569729394788218,0.215
40,0.08130210140736455,0.115,0.11370415602768544,0.115
41,0.1314857142857143,0.185,0.17367120684193854,0.185
42,0.1183791020343146,0.13,0.19187236131566027,0.13
43,0.1722563836587129,0.195,0.2575423001949318,0.195
44,0.14150954736535476,0.2,0.2109263862574208,0.2
45,0.14022286908493803,0.19,0.1820688141923436,0.19
46,0.19742963766151622,0.22,0.28894426236531495,0.22
47,0.3480897207367795,0.355,0.48218196509372974,0.355
48,0.3525283605283605,0.37,0.4491587301587302,0.37
49,0.21769908625945777,0.25,0.2824462234600293,0.25
50,0.2970633038459125,0.325,0.38948212428303963,0.325
51,0.22086304034130122,0.285,0.2639430094052335,0.285
52,0.3296895012420959,0.36,0.4435995052991957,0.36
53,0.35345277276620557,0.365,0.49684126984126986,0.365
54,0.2776278946149636,0.275,0.41575555555555554,0.275
55,0.3496128369838047,0.38,0.4469122315592904,0.38
56,0.3646905813484761,0.385,0.4936086480569239,0.385
57,0.42185913432972255,0.445,0.5050132549442894,0.445
58,0.2874300217523606,0.3,0.398413584466216,0.3
59,0.38616679957469424,0.405,0.47554256854256854,0.405
60,0.4472581862581862,0.44,0.608672077922078,0.44
61,0.3359100092619689,0.375,0.41714018574018574,0.375
62,0.2651782535074988,0.29,0.33567266906762705,0.29
63,0.3907473082473082,0.405,0.4901558441558441,0.405
64,0.5140550005550005,0.53,0.5993492063492063,0.53
65,0.4117160984578731,0.415,0.5246110556110556,0.415
